player,position,team
Bogdan Bogdanović,SG,ATL
Clint Capela,C,ATL
John Collins,PF,ATL
Kris Dunn,PG,ATL
Bruno Fernando,C,ATL
Danilo Gallinari,PF,ATL
Brandon Goodwin,PG,ATL
Solomon Hill,PF,ATL
Kevin Huerter,SG,ATL
De'Andre Hunter,SF,ATL
Nathan Knight,PF,ATL
Skylar Mays,SG,ATL
Onyeka Okongwu,C,ATL
Cam Reddish,SF,ATL
Rajon Rondo,PG,ATL
Tony Snell,SG,ATL
Lou Williams,PG,ATL
Trae Young,PG,ATL
Jaylen Brown,SG,BOS
Carsen Edwards,SG,BOS
Tacko Fall,C,BOS
Evan Fournier,SG,BOS
Javonte Green,SF,BOS
Luke Kornet,C,BOS
Romeo Langford,SG,BOS
Aaron Nesmith,SF,BOS
Semi Ojeleye,PF,BOS
Jabari Parker,PF,BOS
Payton Pritchard,SG,BOS
Marcus Smart,PG,BOS
Jayson Tatum,SF,BOS
Jeff Teague,PG,BOS
Daniel Theis,C,BOS
Tristan Thompson,PF,BOS
Moritz Wagner,C,BOS
Kemba Walker,PG,BOS
Tremont Waters,PG,BOS
Grant Williams,PF,BOS
Robert Williams,C,BOS
Al-Farouq Aminu,PF,CHI
Ryan Arcidiacono,PG,CHI
Troy Brown Jr.,SF,CHI
Wendell Carter Jr.,C,CHI
Devon Dotson,PG,CHI
Cristiano Felício,C,CHI
Daniel Gafford,PF,CHI
Javonte Green,SG,CHI
Chandler Hutchison,SF,CHI
Luke Kornet,PF,CHI
Zach LaVine,SG,CHI
Lauri Markkanen,PF,CHI
Adam Mokoka,SG,CHI
Otto Porter Jr.,SF,CHI
Tomáš Satoranský,SG,CHI
Garrett Temple,SG,CHI
Daniel Theis,C,CHI
Denzel Valentine,SG,CHI
Nikola Vučević,C,CHI
Coby White,PG,CHI
Patrick Williams,PF,CHI
Thaddeus Young,PF,CHI
Jarrett Allen,C,CLE
Marques Bolden,C,CLE
Quinn Cook,PG,CLE
Matthew Dellavedova,PG,CLE
Damyean Dotson,SG,CLE
Andre Drummond,C,CLE
Dante Exum,SG,CLE
Yogi Ferrell,PG,CLE
Darius Garland,PG,CLE
Isaiah Hartenstein,C,CLE
Mfiondu Kabengele,PF,CLE
Kevin Love,PF,CLE
Thon Maker,C,CLE
Jeremiah Martin,PG,CLE
JaVale McGee,C,CLE
Larry Nance Jr.,PF,CLE
Isaac Okoro,SG,CLE
Cedi Osman,SF,CLE
Taurean Prince,PF,CLE
Collin Sexton,SG,CLE
Lamar Stevens,PF,CLE
Brodric Thomas,SG,CLE
Anderson Varejão,C,CLE
Dean Wade,PF,CLE
Dylan Windler,SF,CLE
Tyler Bey,SF,DAL
Jalen Brunson,PG,DAL
Trey Burke,PG,DAL
Willie Cauley-Stein,C,DAL
Luka Dončić,PG,DAL
Dorian Finney-Smith,PF,DAL
Josh Green,SG,DAL
Tim Hardaway Jr.,SG,DAL
Nate Hinton,SG,DAL
Wes Iwundu,SF,DAL
James Johnson,PF,DAL
Maxi Kleber,PF,DAL
Boban Marjanović,C,DAL
Nicolò Melli,PF,DAL
Kristaps Porziņģis,C,DAL
Dwight Powell,C,DAL
J.J. Redick,SG,DAL
Josh Richardson,SG,DAL
Tyrell Terry,PG,DAL
Will Barton,SF,DEN
Bol Bol,PF,DEN
Facundo Campazzo,PG,DEN
Vlatko Čančar,PF,DEN
Gary Clark,SF,DEN
PJ Dozier,SG,DEN
Aaron Gordon,PF,DEN
JaMychal Green,PF,DEN
R.J. Hampton,PG,DEN
Gary Harris,SG,DEN
Shaquille Harrison,SG,DEN
Isaiah Hartenstein,C,DEN
Markus Howard,SG,DEN
Nikola Jokić,C,DEN
JaVale McGee,C,DEN
Paul Millsap,PF,DEN
Monte Morris,PG,DEN
Jamal Murray,PG,DEN
Zeke Nnaji,PF,DEN
Michael Porter Jr.,SF,DEN
Austin Rivers,SG,DEN
Greg Whittington,PF,DEN
Saddiq Bey,SF,DET
Tyler Cook,SF,DET
Hamidou Diallo,SF,DET
Sekou Doumbouya,PF,DET
Wayne Ellington,SG,DET
Jerami Grant,SF,DET
Blake Griffin,PF,DET
Killian Hayes,PG,DET
Frank Jackson,PG,DET
Josh Jackson,SG,DET
Cory Joseph,PG,DET
Saben Lee,PG,DET
Rodney McGruder,SG,DET
Svi Mykhailiuk,SF,DET
Jahlil Okafor,C,DET
Mason Plumlee,C,DET
Derrick Rose,PG,DET
Deividas Sirvydis,SG,DET
Dennis Smith Jr.,PG,DET
Isaiah Stewart,C,DET
Delon Wright,SG,DET
Kent Bazemore,SF,GSW
Jordan Bell,C,GSW
Marquese Chriss,PF,GSW
Stephen Curry,PG,GSW
Draymond Green,PF,GSW
Damion Lee,SG,GSW
Kevon Looney,C,GSW
Nico Mannion,PG,GSW
Mychal Mulder,PG,GSW
Kelly Oubre Jr.,SF,GSW
Eric Paschall,PF,GSW
Gary Payton II,PG,GSW
Jordan Poole,SG,GSW
Alen Smailagić,PF,GSW
Juan Toscano-Anderson,SG,GSW
Brad Wanamaker,PG,GSW
Andrew Wiggins,PF,GSW
James Wiseman,C,GSW
D.J. Augustin,PG,HOU
Avery Bradley,SG,HOU
Armoni Brooks,SG,HOU
Sterling Brown,SG,HOU
Bruno Caboclo,PF,HOU
DeMarcus Cousins,C,HOU
Eric Gordon,SG,HOU
James Harden,SG,HOU
Danuel House Jr.,SF,HOU
DaQuan Jeffries,SG,HOU
Mason Jones,SG,HOU
Rodions Kurucs,SF,HOU
Anthony Lamb,SF,HOU
Kenyon Martin Jr.,SF,HOU
Ben McLemore,SG,HOU
David Nwaba,SF,HOU
Victor Oladipo,SG,HOU
Cameron Oliver,SF,HOU
Kelly Olynyk,PF,HOU
Justin Patton,C,HOU
Kevin Porter Jr.,SG,HOU
Cameron Reynolds,SF,HOU
Ray Spalding,C,HOU
Jae'Sean Tate,SF,HOU
Brodric Thomas,SG,HOU
Khyri Thomas,SG,HOU
P.J. Tucker,PF,HOU
John Wall,PG,HOU
D.J. Wilson,PF,HOU
Christian Wood,C,HOU
Goga Bitadze,C,IND
